"met_uniq","X2.Hydroxybutyrate","Fructose.6.phosphate","beta.Alanine","Glutamate","Linolenic.acid","Pantothenic.acid","Glucose","Ornithine","Glucose.6.phosphate","Ribose","Isoleucine","Cysteine","O.Phosphoethanolamine","Methionine","Alanine","Sedoheptulose.7.phosphate","Histidine","Methylmalonate","X6.Phosphogluconate","Leucine","Valine"
"ACO1","13.1454025566667","0.833130144","9.60141420066667","12.99641493","11.1472535466667","12.90030911","8.01538447233333","19.0094249233333","0.695134082666667","9.923379165","3.97530414033333","3.47065382866667","10.251619273","4.26880628266667","13.1727108","2.904689991","11.9952220733333","5.19932344866667","9.330625713","4.257972635","4.65087749066667"
"ACO2","11.7613204866667","1.798551626","8.434411826","13.2254063966667","9.75350052066667","11.3837866133333","7.09079935366667","14.5145074766667","1.44554580833333","12.5277012866667","5.40369297433333","4.95068871766667","13.4526962066667","4.487819012","11.8730914866667","4.274238449","12.3493664666667","5.71090558833333","7.869646454","7.032656755","6.34337130366667"
"ACO3","10.7498831533333","3.07743347433333","7.04631109966667","15.3075728","9.691764513","11.16320536","9.00693348733333","15.4930810333333","2.72568685666667","10.5117172223333","7.74245851333333","13.6162624","17.3852105533333","10.65244175","12.06897098","4.435900386","8.66367987","7.4571743","7.01168562","8.32665456466667","8.27754656266667"
"ACO4","12.60788169","0.896684081333333","8.33771660866667","15.31919591","12.4178461","9.91221429366667","6.74992467166667","15.5349860466667","0.756243021666667","11.7990120433333","5.56314984533333","4.995426938","15.38633371","1.798110359","12.2298997466667","2.655172753","11.5112214266667","5.91780986466667","8.450851084","6.14724130966667","6.126841125"
"ACO5","13.99682743","0.701315231","7.83253701866667","14.05476567","9.34606877366667","9.84380576766667","11.3411535133333","14.50781336","0.701039465666667","12.4015395866667","5.10300145266667","4.36366558266667","10.6198087866667","1.28087325733333","13.4802324233333","2.62380393933333","11.602516933","6.875134394","7.14852499933333","5.61375175766667","5.93151387033333"
"AO1","10.7646530936667","1.09231713133333","8.63397099333333","15.746866","11.1598392366667","12.94051046","7.24140983766667","14.4687028966667","0.840604982333333","11.1059553433333","5.36620189466667","6.42995261666667","15.25231003","6.13845765433333","11.5209153866667","3.409331616","11.8415194833333","5.06358737933333","9.620070215","5.37142002833333","5.183845771"
"AO2","12.0826063","1.94031902066667","8.68294904466667","12.7654281133333","10.5063411966667","14.00758569","8.14065948866667","13.2915013266667","1.65101108133333","12.0637593","5.07993860333333","6.48815488066667","10.117187398","4.19971868233333","11.3055828263333","3.75032692","11.52056802","4.87323134266667","8.67477307166667","5.777829758","5.40993153533333"
"AO3","10.5241446533333","0.343706573333333","7.057951278","17.20336956","11.375616628","13.3028164866667","6.93452150633333","14.0108889166667","0.199119765","11.8961018366667","2.952503223","2.78524089033333","13.7004394833333","4.13444762866667","11.1967718733333","1.59045980166667","12.8831967666667","3.968445982","6.14283980766667","3.61120476433333","3.86886179"
"AO4","13.01029809","0.940763893333333","7.94644089633333","10.8541882366667","11.2250428666667","12.63991025","6.39414502966667","15.77284597","0.850473998333333","10.5735167966667","5.316463926","5.86118782766667","11.5086676166667","5.05720949066667","11.96462555","2.32057266633333","10.1635170603333","7.30056533633333","8.08978884233333","5.88243818733333","6.95800049666667"
"AO5","13.8133353666667","1.103181945","7.99381181533333","12.1814302766667","9.571063544","10.0008608546667","8.63778806633333","14.7254558866667","1.164052606","10.5556370466667","4.42615961633333","5.91491763766667","14.2954691733333","0.811075266666667","11.0173366866667","2.19816599766667","13.9590301566667","5.26302609666667","6.426109016","4.833941298","4.70956490366667"
